ACCEPT	Kabul Et.
GUILD_GRADE_PERMISSION_JOIN	Davet
GUILD_GRADE_PERMISSION_NOTICE	Mesaj yaz
GUILD_GRADE_PERMISSION_SKILL	Beceriler
GUILD_GRADE_RANK	Sýra
GUILD_GRADE_WRITE	Yaz
GUILD_INFO	Lonca Bilgisi
GUILD_INFO_CUR_EXP	Tecrübe
GUILD_INFO_DECALRE_WAR	Savaþ Ýlaný
GUILD_INFO_ENEMY_GUILD	Düþman Lonca
GUILD_INFO_ENEMY_GUILD_EMPTY	Yok
GUILD_INFO_LEVEL	Lonca Seviyesi
GUILD_INFO_MARK	Lonca Ýmzasý
GUILD_INFO_MASTER	Lider
GUILD_INFO_MASTER_VALUE	Lider
GUILD_INFO_MEMBER_AVG_LEVEL	Ortalama Seviye
GUILD_INFO_MEMBER_NUM	Üye Sayýsý
GUILD_INFO_NAME	Lonca Ýsmi
GUILD_INFO_NAME_VALUE	Bu bir Lonca ismi
GUILD_INFO_OFFER_EXP	Yatýrým
GUILD_INFO_REST_EXP	Gereken Tecrübe
GUILD_INFO_UPLOAD_MARK	Ýmza Yükle
GUILD_INFO_UPLOAD_SYMBOL	Bayrak Yükle
GUILD_MARK	Lonca Ýmzasý
GUILD_MEMBER_JOB	Sýnýf
GUILD_MEMBER_KNIGHT	Lider
GUILD_MEMBER_LEVEL	Seviye
GUILD_MEMBER_NAME	Isim
GUILD_MEMBER_RANK	Sýra
GUILD_MEMBER_SPECIFIC_GRAVITY	Yatýrým
GUILD_METIN_STONE	Ruh Taþý
GUILD_MINENAL	Mineral
GUILD_MONEY	Yang
GUILD_NAME	Lonca
GUILD_RESOURCE_INFO	Kaynak Bilgisi
GUILD_SKILL_ACTIVE	Aktif
GUILD_SKIlL_HEAL_GSP	Gücü tekrar kazan
GUILD_SKILL_PASSIVE	Pasif
GUILD_SKILL_POWER	Enerji
GUILD_SKILL_STATE	Lonca Becerileri
GUILD_SYMBOL	Lonca Bayraðý
GUILD_WAR_ACCEPT	Savaþ Ýlaný Kabulü
GUILD_WAR_BATTLE_TYPE	Savaþ Türü
GUILD_WAR_CTF	Bayrak
GUILD_WAR_DECLARE	Lonca Savaþý Ýlaný
GUILD_WAR_ENEMY	Düþman
GUILD_WAR_NORMAL	Alan
GUILD_WAR_WARP	Arena
GUILD_WATER	Su
GUILD_WATER_STONE	Su Taþý
GUILD_WITHDRAW	Geri Çek
HELP_ATTACK_KEY	Saldýr: sol fare tuþu veya boþluk tuþu ile
HELP_CHANGE_PK_MODE	Saldýrý modunu deðiþtir: sol fare tuþu ayarýný deðiþtir
HELP_CHARACTER_BUTTON1	(Karakter Penceresi, Envanter Penceresi,
HELP_CHARACTER_BUTTON2	Arkadaþ Listesi ve Seçenekler)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Kamera görüntüsü: orta veya sað fare tuþu ile
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Kamera görüntüsü: sað veya orta fare tuþu ile
HELP_EXP	Tecrübe
HELP_FURY	Oyun Nesnet Marketi
HELP_GUILD_WINDOW	Lonca Penceresini aç: Alt + G tuþlarý ile
HELP_HELP	Yardým göster: H ile
HELP_HP	Hayat Puaný (HP)
HELP_MESSENGER_WINDOW	Arakadaþ Listesini aç: Alt + M tuþlarý  ile
HELP_MOUSE_LEFT	Sol mouse tuþunun iþlevi
HELP_MOUSE_RIGHT	Sað mouse tuþunun iþlevi
HELP_MOVE_KEY	Kumanda: W, S, A, D tuþlarý ve ok tuþlarý ile
HELP_OPEN_CHARACTER	Karakter Penceresini aç: C tuþu ile
HELP_OPEN_CHAT	Sohbet Penceresini aç: Giriþ tuþu ile
HELP_OPEN_INVENTORY	Envanter Penceresini aç: I tuþu ile
HELP_OPEN_LOG	Sohbet protokolünü (Log) aç: L tuþu ile
HELP_OPEN_MINIMAP	Küçük Haritayý aç: Shift + M tuþlarý ile
HELP_OPEN_QUEST	Görev Penceresini aç: N tuþu ile
HELP_OPEN_SKILL	Beceri Penceresini aç: V tuþu ile
HELP_OPEN_WHISPER	Fýsýltý Penceresini aç: üst karakter + giriþ tuþu ile
HELP_OPEN_ZONEMAP	Genel Görünüm Haritasý'ný aç: M tuþu ile
HELP_PICK_ITEM	Nesneleri topla: ^ , Y veya sol fare tuþu ile
HELP_QUICKSLOT	Hýzlý Eriþim Alanlarý
HELP_SCREEN_CAPTURE	Ekran görüntüsünü kaydet: Yazdýr veya Print tuþu ile ("Metin2\screenshot" dosyasý altýnda kaydedilecek)
HELP_SHOW_ALL_NAME	Ýsimleri göster: Alt tuþu ile
HELP_SP	Zihin Puaný (SP)
HELP_SYSTEM_BUTTON	Sistem Tuþlarý
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1. Envanter
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2. Envanter
INVENTORY_TITLE	Envanter
ITEM_MALL	Nesne Market
LOAD_ERROR	Dosya hasar görmüþ. Lütfen yenisini yükleyiniz. Þimdi ESC tuþuna basýnýz .
LOGIN_CONNECT	Baðlan
LOGIN_CONNECTING	Servera baðlanacaksýnýz.
LOGIN_DEFAULT_SERVERADDR	Server ismi, Kanal 1
LOGIN_EXIT	Çýkýþ
LOGIN_REGION_TITLE	Fatura gönderilecek yer seç.
LOGIN_SELECT_BUTTON	Seç
LOGIN_SELECT_EXIT	Çýkýþ
LOGIN_SELECT_OK	OK
LOGIN_SELECT_TITLE	Server Seç
MALL_PASSWORD_TITLE	þifre
MALL_TITLE	Nesne Marketi Deposu
MARKET_TITLE	Yükle
MARKLIST_REFRESH	Yenile
MARKLIST_TITLE	Lonca imzasýný kaydet
MESSAGE	Bu bir Mesaj
MESSENGER_ADD_FRIEND	Arkadaþ Ekle
MESSENGER_DELETE_FRIEND	Arkadaþ Sil
MESSENGER_MOBILE	Metin Mesajý Gönder
MESSENGER_OPEN_GUILD	Lonca Penceresini Aç
MESSENGER_TITLE	Arkadaþlar
MESSENGER_USE_GUILD_MOVE_SKILL	Lonca Hareket Becerisini Kullan
MESSENGER_WHISPER	Fýsýltý
MINIMIZE	Küçült
MOUSEBUTTON_ATTACK	Saldýrý
MOUSEBUTTON_AUTO_ATTACK	Otomatik Saldýrý
MOUSEBUTTON_CAMERA	Kamera
MOUSEBUTTON_SKILL	Beceriler
MUSICLIST_TITLE	Müzik Seçimi
NO	Hayýr
OK	Tamam
OPTION_ALWAYS_SHOW_NAME	Isim
OPTION_ALWAYS_SHOW_NAME_OFF	Sýnýrlý
OPTION_ALWAYS_SHOW_NAME_ON	Her Zaman
OPTION_BLOCK	Engelle
OPTION_BLOCK_EXCHANGE	Ticaret
OPTION_BLOCK_FRIEND	Arkadaþlar
OPTION_BLOCK_GUILD	Lonca
OPTION_BLOCK_PARTY	Grup
OPTION_BLOCK_PARTY_REQUEST	Rica
OPTION_BLOCK_WHISPER	Fýsýltý
OPTION_CAMERA_DISTANCE	Kamera
OPTION_CAMERA_DISTANCE_LONG	Uzak Mesafe
OPTION_CAMERA_DISTANCE_SHORT	Kýsa Mesafe
OPTION_DELETE_MOBILE_BUTTON	Cep Telefonu Numaraný Sil
OPTION_EFFECT	Önemli Bilgiler
OPTION_FOG	Sis
OPTION_FOG_DENSE	Yoðun
OPTION_FOG_LIGHT	Hafif
OPTION_FOG_MIDDLE	Normal
OPTION_INPUT_MOBILE_BUTTON	Cep Telefonu Numarasý Gir
OPTION_MOBILE	Cep Telefonu
OPTION_MUSIC	Müzik
OPTION_MUSIC_CHANGE	Deðiþtir
OPTION_MUSIC_DEFAULT_THEMA	Metin2 Standart Müziði
OPTION_NAME_COLOR	Renk ismi
OPTION_NAME_COLOR_EMPIRE	Ülke Rengi
OPTION_NAME_COLOR_NORMAL	Normal
OPTION_PVPMODE	PvP Modu
OPTION_PVPMODE_FREE	Serbest
OPTION_PVPMODE_FREE_TOOLTIP	Tüm oyunculara saldýrma izni var.
OPTION_PVPMODE_GUILD	Lonca
OPTION_PVPMODE_GUILD_TOOLTIP	Lonca üyeleri hariç tüm oyunculara saldýrma izni var.
OPTION_PVPMODE_PEACE	Barýþ
OPTION_PVPMODE_PEACE_TOOLTIP	Kendi krallýðýnýn oyuncularýna saldýramazsýn.
OPTION_PVPMODE_REVENGE	Düþman
OPTION_PVPMODE_REVENGE_TOOLTIP	Sadece farklý ülkelerden olanlara saldýrabilirsiniz.
OPTION_SALESTEXT	Market Ýsmi
OPTION_SALESTEXT_VIEW_OFF	Gizle
OPTION_SALESTEXT_VIEW_ON	Göster
OPTION_SOUND	Efektler
OPTION_TARGET_BOARD	Hedef Tahtasý
OPTION_TARGET_BOARD_NO_VIEW	Kapat
OPTION_TARGET_BOARD_VIEW	Göster
OPTION_TILING	Grafik Deposu
OPTION_TILING_APPLY	Uygula
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	Seçenekler
OPTION_VIEW_CHAT	Sohbet Satýrý
OPTION_VIEW_CHAT_OFF	Gizle
OPTION_VIEW_CHAT_ON	Göster
PARTY_MEMBER_INFO_NAME	Grup Üyesinin Ýsmi
PASSWORD_DESC_1	Depoyu açmak için,
PASSWORD_DESC_2	þifreyi gir.
PASSWORD_DESC_3	Þifreni deðiþtirdin mi?
PASSWORD_DESC_4	Deðiþtirmediysen þifren þudur: "000000".
PASSWORD_DESC_5	Þifreni depoda deðiþtir.
PASSWORD_TITLE	Þifre Kaydetme
PICK_MONEY_TITLE	Bölmek
PRIVATE_SHOP_CLOSE_BUTTON	Dükkaný kapat
PRIVATE_SHOP_NAME	Dükkan ismi
PRIVATE_SHOP_TITLE	Özel dükkan aç
REFINE_COST	Yükseltme Ücreti: 0 Yang
REFINE_INFO	Baþarýlý bir geliþtirme olasýlýðý: %100
REFINE_MONEY	Arýndýrma Ücreti
REFINE_SELECT	Arýndýrma
REFINE_TTILE	Yükseltme
REPORT_VIOLENT_WHISPER	
RESTART_HERE	Burada yeniden baþla
RESTART_TOWN	Þehirde yeniden baþla
SAFE_CHANGE_PASSWORD	Þifre Deðiþtir
SAFE_TITLE	Depo
SELECT_ATT_GRADE	STR
SELECT_CREATE	Oluþtur
SELECT_DELETE	Sil
SELECT_DEX_GRADE	DEX
SELECT_EMPIRE_NAME	Krallýk Ýsmi
SELECT_EXIT	Çýkýþ
SELECT_HP	HP
SELECT_LEVEL	Seviye
SELECT_METIN_STONE_TITLE	Ruh Taþý Seç
SELECT_NAME	Isim
SELECT_NO_GUILD	Lonca Yok
SELECT_PLAYTIME	Oyun Süresi (dak.)
SELECT_SELECT	Baþla
SELECT_SP	SP
SELECT_TITLE	Baþlýk Seç
SHOP_BUY	Satýn Al
SHOP_SELL	Sat
SHOP_TITLE	Dükkan
SKILL_SUPPORT_TITLE	Standart Beceriler
STEP	Saflýk Derecesi
STEP_SELECT	Saflýk Derecesi
STRENGTH	Güçlendirme
STRENGTH_SELECT	Seviye
SYSTEMOPTION_TITLE	Sistem Seçenekleri
SYSTEM_CHANGE	Karakter Deðiþikliði
SYSTEM_EXIT	Oyun Sonu
SYSTEM_HELP	Yardým
SYSTEM_LOGOUT	Çýkýþ
SYSTEM_MALL	Nesne Market
SYSTEM_OPTION	Sistem Seçenekleri
TASKBAR_CHARACTER	Karakter [C/V/B/N]
TASKBAR_CHAT	Sohbet Penceresi [Enter]
TASKBAR_DISABLE	Devre dýþý
TASKBAR_DRAGON_SOUL	Ejderha Taþý Simyasý
TASKBAR_EXPAND	Paneli geniþlet
TASKBAR_INVENTORY	Envanter [I]
TASKBAR_MESSENGER	Arkadaþlar [Alt+M]
TASKBAR_NEXT_QUICKSLOT	Sonraki Hýzlý Giriþ Alaný [Shift+Number, Alt]
TASKBAR_PREV_QUICKSLOT	Önceki Hýzlý Giriþ Alaný[Shift+Number]
TASKBAR_SYSTEM	Seçenekler[ESC]
WHISPER_BAN	Engelle
WHISPER_NAME	Fýsýltý
WHISPER_REPORT	
WHISPER_SEND	Gönder
YES	Evet
ZONE_MAP	Genel Görünüm Haritasý
